ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,2382.764607268178,a6D,1.0,,10
Fe II,2383.0856796571143,a4F,0.17024793388429751,,6
Fe II,2383.2947267926324,y4H*,1.0,,25
Fe II,2383.6318028021115,a2H,1.0,,0
Fe II,2383.7898384412692,a6D,0.11223880597014925,,10
Fe II,2383.9428729542265,c4P,0.5723684210526315,,22
Fe II,2383.969879044914,a4F,0.19173553719008266,,6
Fe II,2385.1101362525283,X4F*,0.3023529411764706,,1
Fe II,2385.112136703847,a4F,0.14049586776859505,,6
Fe II,2385.730276174438,a4F,0.29256198347107437,,6
Fe II,2387.1035861264704,z4F*,0.02,,27
Fe II,2389.3590954644405,a6D,0.15701492537313433,,10
Fe II,2390.0392491235116,X4F*,1.0,,1
Fe II,2392.2087394577266,a4F,0.5801652892561984,,6
Fe II,2392.4677980294778,c4P,0.12664473684210525,,22
Fe II,2394.9763654339154,y4H*,0.7343957503320053,,25
Fe II,2395.8705677914,c4P,0.3404605263157895,,22
Fe II,2396.150631180453,a6D,0.06597014925373135,,10
Fe II,2396.3526769143427,a6D,0.27223880597014927,,10
Fe II,2398.4941618136218,c4P,0.5361842105263158,,22
Fe II,2399.3843634718182,z4D*,0.040705882352941175,,26
Fe II,2399.962494464162,a4F,0.1256198347107438,,6
Fe II,2399.974497183958,a6D,0.11194029850746269,,10
Fe II,2402.0219612734772,z4D*,0.03388235294117647,,26
Fe II,2403.329257735259,a4F,0.2727272727272727,,6
Fe II,2405.164674148235,a6D,0.05373134328358209,,10
Fe II,2405.6197774341913,a6D,0.15402985074626865,,10
Fe II,2405.9478518991677,c4P,0.12828947368421054,,22
Fe II,2406.4179586141195,z4D*,0.024,,26
Fe II,2407.39518049049,a6D,0.06656716417910448,,10
Fe II,2407.963309511297,c4P,0.14720394736842105,,22
Fe II,2409.388633290101,z4D*,0.014635294117647059,,26
Fe II,2411.25505746616,a6D,0.11223880597014925,,10
Fe II,2411.8031820787623,a6D,0.054626865671641794,,10
Fe II,2414.045692097437,a6D,0.06686567164179104,,10
Fe II,2415.7950901873023,c4P,0.4967105263157895,,22
Fe II,2415.930120922665,c4P,0.15970394736842106,,22
Fe II,2417.186406930292,z4F*,0.022708333333333334,,27
Fe II,2419.16885845879,z4F*,0.019083333333333334,,27
Fe II,2419.3999110999375,c4P,0.5345394736842105,,22
Fe II,2424.879160418739,b4F,0.029128205128205128,,17
Fe II,2431.134588970679,c4F,0.9245901639344263,,21
Fe II,2431.1996038306374,c4P,0.46875,,22
Fe II,2431.731725463306,c4P,0.16776315789473684,,22
Fe II,2439.2564472934714,c4P,0.8453947368421053,,22
Fe II,2439.341466767241,c4F,0.19704918032786886,,21
Fe II,2440.0396266975063,a4G,0.030987124463519315,,7
Fe II,2440.1836596953185,z6D*,0.06351351351351352,,29
Fe II,2440.667770613652,c4F,0.3177049180327869,,21
Fe II,2441.871046365447,z4F*,0.02125,,27
Fe II,2443.330380912419,c4F,0.7967213114754098,,21
Fe II,2444.6616862185915,c4F,0.6065573770491803,,21
