key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeI]-3710,Fe I,3709.506,3.694597,7.036934,13500.0,2.7845658367023488e-05,9-9,4s2-s6D)6p,b1G-7F,4-4,E1,3708.451,semi-forbidden,0.0002506109253032114,95,0.0012400421037305452,b1G,K94,--
FeI]-3710,Fe I,3709.647,2.45343,5.79564,1825.0,2.929257095361535e-06,9-7,4s2-(4P)4p,a3H-u5D,4-3,E1,3708.592,semi-forbidden,2.6363313858253814e-05,91,3.319976262780932e-05,a3H,K94,--
FeI]-3710,Fe I,3709.657,2.588106,5.930307,810000.0,0.0011937185974732118,7-5,4s2-3Gsp3P,b3F-w5G,3-2,E1,3708.602,semi-forbidden,0.008356030182312483,97,0.01326526966676159,b3F,O,--
TiI-3710,Ti I,3709.687,2.24923,5.591404,14660000.0,0.02475183007343557,11-9,(2H)4s-(4F)5p,a3H-3G,5-4,E1,3708.632,permitted,0.2722701308077913,29,0.02554736407804127,a3H,K,--
FeI-3710,Fe I,3710.079,3.03847,6.380291,11050.0,3.191758294473464e-05,5-7,5Dsp3P-s6D)4d,z7P-e7G,2-3,E1,3709.024,permitted,0.0001595879147236732,112,6.60844828105575e-05,z7P,K94,--
TiI-3710,Ti I,3710.216,2.102951,5.444648,5301000.0,0.007814513755628165,7-5,(3F)sp-(4F)4d,z5F-5F,3-2,E1,3709.161,permitted,0.05470159628939716,46,0.007638531731151483,z5F,K,--
FeI-3710,Fe I,3710.301,0.914602,4.256223,15640000.0,0.025104841891344196,9-7,(4F)4s-(4F)4p,a5F-y5F,4-3,E1,3709.246,permitted,0.22594357702209775,39,0.060942120247065835,a5F,FMW,--
FeI-3711,Fe I,3710.589,2.990352,6.331714,4414000.0,0.011136724867532219,9-11,4s2-3Gsp3P,b3G-x3H,4-5,E1,3709.534,permitted,0.10023052380778996,98,0.2693050464064463,b3G,K94,--
FeI]-3711,Fe I,3710.721,2.559171,5.900414,950500.0,0.0019622642452068496,9-9,4s2-3Gsp3P,b3F-w5G,4-4,E1,3709.666,semi-forbidden,0.017660378206861647,97,0.042034056002900555,b3F,O,--
TiI-3711,Ti I,3711.012,1.052926,4.393907,67300000.0,0.13895646115677848,3-3,s2,a3P-y3S,1-1,E1,3709.956,permitted,0.4168693834703354,103,0.3569391124157454,a3P,NBS,--
FeII-3711,Fe II,3711.197,4.731757,8.072571,10500.0,2.889673329590229e-05,6-8,(1D)4s-(3F)4p,c2D-y2G,5/2-7/2,E1,3710.141,permitted,0.00017338039977541375,4,0.0011174532489085151,c2D,K88,--
TiI-3711,Ti I,3711.234,2.249729,5.59051,12080000.0,0.01496339001022309,5-3,(2P)4s,b3P-t3P,2-1,E1,3710.178,permitted,0.07481695005111545,34,0.016098551881154916,b3P,K,--
FeII-3711,Fe II,3711.418,7.568212,10.908827,4741.0,9.791489208829615e-06,6-6,(3H)4p-(5D)4d,z4G-4P,5/2-5/2,E1,3710.362,permitted,5.874893525297769e-05,54,0.0003303258242780301,z4G,K88,--
FeI-3712,Fe I,3711.527,3.984107,7.324624,3980000.0,0.004932078674468677,5-3,5Dsp3P-59077even,--,2-1,E1,3710.471,permitted,0.024660393372343388,103,0.0014818307615365937,,K94,--
TiI-3712,Ti I,3711.937,2.102951,5.443099,1512000.0,0.004017001186284201,7-9,(3F)sp-(4F)4d,z5F-f5H,3-4,E1,3710.881,permitted,0.028119008303989407,46,0.007083363143011468,z5F,K,--
TiI]-3712,Ti I,3712.246,2.480433,5.820303,19450.0,4.018185625217456e-05,5-5,(3F)sp-d24p2,z3D-g5G,2-2,E1,3711.19,semi-forbidden,0.00020090928126087278,42,7.269347154927633e-05,z3D,K,--
FeI-3712,Fe I,3712.279,2.588106,5.927947,3316000.0,0.008808500026592603,7-9,4s2-3Fsp3P,b3F-x3G,3-4,E1,3711.223,permitted,0.06165950018614822,97,0.1767855669697812,b3F,FMW,--
FeI-3712,Fe I,3712.354,2.197866,5.537639,795900.0,0.0016444852998941425,5-5,(4P)4s-3Fsp3P,a5P-v5D,2-2,E1,3711.298,permitted,0.008222426499470713,52,0.010295354934965941,a5P,K94,--
FeI]-3712,Fe I,3712.464,3.071339,6.411013,7342000.0,0.02528591916763945,3-5,(2P)4s-(2P)4p,c3P-y1D,1-2,E1,3711.408,semi-forbidden,0.07585775750291836,24,0.1011638675036558,c3P,FMW,--
FeII-3712,Fe II,3712.465,7.397326,10.736999,2380.0,7.37802306666596e-06,4-6,(3P)4p-(5D)4d,z4S-e4F,3/2-5/2,E1,3711.409,permitted,2.951209226666384e-05,68,0.0004396998558628223,z4S,K88,--
TiI]-3713,Ti I,3712.635,2.317901,5.657421,182100.0,0.0004599996386885894,9-11,(3F)sp-s2F)4d,z5D-3G,4-5,E1,3711.579,semi-forbidden,0.004139996748197304,45,0.0013082195924157794,z5D,K,--
FeI]-3713,Fe I,3712.863,3.694597,7.033913,676.8,1.398806013104629e-06,9-9,4s2-s6D)6p,b1G-5D,4-4,E1,3711.807,semi-forbidden,1.2589254117941661e-05,95,6.256089094966012e-05,b1G,K94,--
TiI]-3713,Ti I,3712.895,2.174706,5.513992,34400.0,7.110529785413372e-05,7-7,2D2)4s-(4F)5p,a3D-5D,3-3,E1,3711.839,semi-forbidden,0.000497737084978936,77,8.756814463704854e-05,a3D,K,--
FeI]-3713,Fe I,3712.974,2.45343,5.792646,7988.0,1.6510396025411194e-05,9-9,4s2-(4P)4p,a3H-u5D,4-4,E1,3711.918,semi-forbidden,0.00014859356422870074,91,0.0002416180075868232,a3H,K94,--
FeII-3713,Fe II,3713.039,5.910912,9.250069,969400.0,0.003005661086543533,4-6,d7-(3D)4p,d2D1-x2D,3/2-5/2,E1,3711.983,permitted,0.012022644346174132,116,0.15937502016620214,d2D1,FMW,--
FeI-3713,Fe I,3713.136,3.416953,6.756022,21160.0,6.123926867381357e-05,5-7,5Dsp3P-(4F)4d,z5F-e5H,2-3,E1,3712.08,permitted,0.0003061963433690679,108,0.00010070712074420712,z5F,K94,--
TiI]-3713,Ti I,3713.243,1.980726,5.319699,4320.0,8.93103846822409e-06,7-7,(3F)sp-s4F)4d,z5G-3D,3-3,E1,3712.187,semi-forbidden,6.251726927756862e-05,47,1.0443264747627578e-05,z5G,K,--
FeII]-3713,Fe II,3713.447,2.27643,5.61522,349.6,7.226699705913694e-07,4-4,d7-(5D)4p,a2P-z4F,3/2-3/2,E1,3712.391,semi-forbidden,2.8906798823654776e-06,112,0.0003658309793114697,a2P,K88,--
TiI]-3714,Ti I,3713.964,1.066554,4.404879,22720.0,2.8185775968437497e-05,5-3,s2-(4P)4p,a3P-w5D,2-1,E1,3712.908,semi-forbidden,0.00014092887984218749,103,7.041255562880802e-05,a3P,K,--
TiI]-3714,Ti I,3714.151,2.267368,5.605524,21980.0,5.5559392775219814e-05,9-11,(2G)4s-(4F)5p,b1G-3G,4-5,E1,3713.095,semi-forbidden,0.0005000345349769783,23,0.00014143763048067755,b1G,K,--
FeII-3714,Fe II,3714.356,9.007534,12.345506,1082000.0,0.00223872113856834,10-10,(3D)4p-(3F)5s,w4F-f4F,9/2-9/2,E1,3713.3,permitted,0.0223872113856834,23,0.60854622191261,w4F,K88,--
FeII-3715,Fe II,3714.524,9.007685,12.345506,1719000.0,0.004445391482112316,8-10,(3D)4p-(3F)5s,w4D-f4F,7/2-9/2,E1,3713.468,permitted,0.03556313185689853,22,0.5275190529116095,w4D,K88,--
TiI-3715,Ti I,3714.773,1.429756,4.767355,161500.0,0.0003342181228621414,5-5,(4F)4s-(2G)4p,b3F-t3F,2-2,E1,3713.716,permitted,0.001671090614310707,66,0.0002630392668628544,b3F,K,--
TiI]-3715,Ti I,3714.858,2.267368,5.60489,7855.0,1.26403031758159e-05,9-7,(2G)4s-(4F)5p,b1G-n3D,4-3,E1,3713.801,semi-forbidden,0.0001137627285823431,23,2.049563538559479e-05,b1G,K,--
TiI-3715,Ti I,3714.896,2.249729,5.587216,53120.0,0.00010990817477152495,5-5,(2P)4s-(4F)5p,b3P-n3D,2-2,E1,3713.839,permitted,0.0005495408738576248,34,0.00019800255836377882,b3P,K,--
TiII-3715,Ti II,3714.951,4.910115,8.247554,14530000.0,0.015029343437081948,4-2,(1D)4p-(3F)4d,y2D-2P,3/2-1/2,E1,3713.894,permitted,0.06011737374832779,1,0.21947911384393454,y2D,K88,--
TiI-3716,Ti I,3716.424,2.134436,5.470552,18300000.0,0.0378972166791214,11-11,(3F)sp-(4F)4d,z5F-5F,5-5,E1,3715.367,permitted,0.4168693834703354,46,0.07635714008051847,z5F,K,--
TiI-3717,Ti I,3716.763,2.239326,5.575138,257400.0,0.0005331860095382231,3-3,(2P)4s-(4F)5p,b3P-n3D,1-1,E1,3715.706,permitted,0.0015995580286146695,34,0.0005918208516879888,b3P,K,--
