--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
   246.0406    245.9662  -3.061 3.191e+05  22.00 Ti I        1.046007   0.0 s2 a3P         6.085183   1.0 s2F)5p 3D  K    
   246.2628    246.1883  -1.193 1.410e+07  22.00 Ti I        1.052926   1.0 s2 a3P         6.087556   2.0 s2F)5p 3D  K    
   246.3789    246.3044  -3.127 2.734e+05  22.00 Ti I        1.052926   1.0 s2 a3P         6.085183   1.0 s2F)5p 3D  K    
   246.5726    246.4980  -1.039 3.343e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.028305   1.0 (4P)4p r3D K    
   246.6214    246.5468  -0.876 2.084e+07  22.00 Ti I        1.066554   2.0 s2 a3P         6.093864   3.0 s2F)5p 3D  K    
   246.9113    246.8367  -0.937 2.530e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.042500   2.0 (4P)4p r3D K    
   246.9312    246.8566  -1.632 5.105e+06  22.00 Ti I        1.066554   2.0 s2 a3P         6.087556   2.0 s2F)5p 3D  K    
   247.0480    246.9733  -4.228 2.155e+04  22.00 Ti I        1.066554   2.0 s2 a3P         6.085183   1.0 s2F)5p 3D  K    
   247.1743    247.0996  -0.891 2.005e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.064030   3.0 (4P)4p r3D K    
   247.6198    247.5450  -4.795 5.813e+03  22.00 Ti I        0.000000   2.0 s2 a3F         5.007039   1.0 s2 4p v3P  K    
   248.1207    248.0458  -3.320 7.408e+04  22.00 Ti I        0.000000   2.0 s2 a3F         4.996930   3.0 a2D)4p w1F K    
